         29486 function calls (28396 primitive calls) in 0.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\_core\_internal.py:280(data_as)
       10    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        5    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\_array_api.py:170(device)
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:4994(num_feature)
       15    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\warnings.py:188(_add_filter)
       20    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\base.py:437(__getstate__)
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\psutil\_pswindows.py:1076(from_bitmask)
       20    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\scipy\_lib\_sparse.py:10(issparse)
        5    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_compat\common\_aliases.py:122(ones)
        5    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\base.py:846(__sklearn_tags__)
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:1478(_more_tags)
       50    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:732(__sklearn_is_fitted__)
       30    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\copy.py:232(_keep_alive)
       20    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\ctypes\__init__.py:530(cast)
        5    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:1250(argmax)
      320    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      780    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2828(kind)
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:1258(__get_num_preds)
       10    0.000    0.000    0.000    0.000 {built-in method psutil_windows.proc_cpu_affinity_get}
        5    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\_array_api.py:293(_remove_non_arrays)
        5    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\_core\numeric.py:171(ones)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:2310(_get_feature_names)
       50    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\_config.py:27(_get_threadlocal_config)
        5    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_compat\common\_aliases.py:447(reshape)
       10    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._unique_hash}
        5    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_compat\common\_aliases.py:24(arange)
       15    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       15    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\warnings.py:488(__enter__)
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_extra\_lib\_utils\_helpers.py:253(eager_shape)
       25    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\_dataframe.py:45(is_pandas_df)
       40    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       10    0.000    0.000    0.000    0.000 {built-in method nt.cpu_count}
       35    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_compat\common\_helpers.py:660(_check_device)
       15    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:308(_use_interchange_protocol)
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:318(_num_features)
      155    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       70    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\_core\shape_base.py:216(_vhstack_dispatcher)
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\ma\core.py:6879(is_masked)
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\linecache.py:22(getline)
        5    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
